2026-02-20 08:58:39 | INFO     | expense_tracker | Launching Expense Tracker MCP server (stdio transport)…
2026-02-20 08:58:40 | INFO     | expense_tracker.db | Initialising MySQL database 'expense_tracker'
2026-02-20 08:58:40 | INFO     | expense_tracker.db | Database initialised successfully.
2026-02-20 09:04:22 | INFO     | mcp.server.lowlevel.server | Processing request of type ListResourceTemplatesRequest
2026-02-20 09:04:28 | INFO     | mcp.server.lowlevel.server | Processing request of type ListResourcesRequest
2026-02-20 09:04:46 | INFO     | mcp.server.lowlevel.server | Processing request of type ListToolsRequest
2026-02-20 09:05:03 | INFO     | mcp.server.lowlevel.server | Processing request of type ListPromptsRequest
2026-02-20 09:05:39 | INFO     | mcp.server.lowlevel.server | Processing request of type ListToolsRequest
2026-02-20 09:05:42 | INFO     | mcp.server.lowlevel.server | Processing request of type PingRequest
2026-02-20 09:05:58 | INFO     | mcp.server.lowlevel.server | Processing request of type ListToolsRequest
2026-02-20 09:06:01 | INFO     | mcp.server.lowlevel.server | Processing request of type ListToolsRequest
2026-02-20 09:08:22 | INFO     | mcp.server.lowlevel.server | Processing request of type CallToolRequest
2026-02-20 09:08:23 | WARNING  | expense_tracker.tools.expenses | Validation failed for add_expense: 2 validation errors for AddExpenseInput
category
  Input should be 'Food', 'Travel', 'Bills', 'Entertainment', 'Health', 'Shopping', 'Education' or 'Other' [type=enum, input_value='on food', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/enum
date
  Value error, date must be in YYYY-MM-DD format [type=value_error, input_value='20-02-2026', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/value_error
2026-02-20 09:10:33 | INFO     | mcp.server.lowlevel.server | Processing request of type CallToolRequest
2026-02-20 09:10:39 | INFO     | expense_tracker.tools.expenses | Added expense #1: Food_is_life
2026-02-20 09:10:39 | INFO     | mcp.server.lowlevel.server | Warning: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
2026-02-20 09:18:28 | INFO     | mcp.server.lowlevel.server | Processing request of type ListToolsRequest
2026-02-20 09:18:28 | INFO     | mcp.server.lowlevel.server | Processing request of type ListPromptsRequest
2026-02-20 09:18:28 | INFO     | mcp.server.lowlevel.server | Processing request of type ListResourcesRequest
2026-02-20 09:19:31 | INFO     | mcp.server.lowlevel.server | Processing request of type CallToolRequest
2026-02-20 09:19:31 | INFO     | mcp.server.lowlevel.server | Warning: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
2026-02-20 09:19:42 | INFO     | mcp.server.lowlevel.server | Processing request of type CallToolRequest
2026-02-20 09:19:42 | INFO     | expense_tracker.tools.expenses | Added expense #2: Travel
2026-02-20 09:19:42 | INFO     | mcp.server.lowlevel.server | Warning: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
